team,adjde,Year,conf,similar_team,similar_adjde,adjde_diff
New Orleans,107.62007584777211,2021,Slnd,A&M-Corpus Christi,108.41178009725752,0.7917042494854059
CSUN,111.39955097297052,2021,BW,Cal St. Fullerton,111.68308185632434,0.28353088335381926
Lamar University,105.76712330585477,2021,Slnd,Nicholls,104.6011330212204,1.1659902846343613
Air Force,108.81123310000898,2021,MWC,Wyoming,107.66272065840126,1.1485124416077213
Portland,111.92488470642894,2021,WCC,LMU (CA),100.11398320132028,11.81090150510866
San Jose St.,110.41066045985022,2021,MWC,Air Force,108.81123310000898,1.5994273598412434
Northwestern St.,110.45480139782508,2021,Slnd,Southeastern La.,112.0996226740774,1.6448212762523156
Cal Poly,104.80713265579578,2021,BW,Hawaii,104.66399122318452,0.14314143261125878
Central Ark.,113.7158747422572,2021,Slnd,McNeese,113.64523941032542,0.07063533193178273
UIW,112.33973449996472,2021,Slnd,Houston Christian,112.41299192848402,0.07325742851929817
McNeese,113.64523941032542,2021,Slnd,Central Ark.,113.7158747422572,0.07063533193178273
A&M-Corpus Christi,108.41178009725752,2021,Slnd,New Orleans,107.62007584777211,0.7917042494854059
Southeastern La.,112.0996226740774,2021,Slnd,UIW,112.33973449996472,0.24011182588732538
Houston Christian,112.41299192848402,2021,Slnd,UIW,112.33973449996472,0.07325742851929817
Gonzaga,89.88654207088734,2022,WCC,Saint Mary's (CA),90.4831873047815,0.5966452338941508
Saint Mary's (CA),90.4831873047815,2022,WCC,Gonzaga,89.88654207088734,0.5966452338941508
San Francisco,93.03615566959532,2022,WCC,Saint Mary's (CA),90.4831873047815,2.5529683648138217
San Diego St.,86.92160360811394,2022,MWC,Boise St.,92.93122698816622,6.009623380052275
Boise St.,92.93122698816622,2022,MWC,Fresno St.,93.504224189002,0.5729972008357862
Colorado St.,98.09516888059284,2022,MWC,UNLV,97.85482382773026,0.24034505286257968
Utah St.,96.45215868195784,2022,MWC,Wyoming,97.28599472160803,0.833836039650194
Fresno St.,93.504224189002,2022,MWC,Boise St.,92.93122698816622,0.5729972008357862
Wyoming,97.28599472160803,2022,MWC,UNLV,97.85482382773026,0.568829106122223
BYU,97.84470393655218,2022,WCC,San Diego,100.09355650871362,2.2488525721614394
Santa Clara,100.38429480026936,2022,WCC,San Diego,100.09355650871362,0.2907382915557406
UNLV,97.85482382773026,2022,MWC,Colorado St.,98.09516888059284,0.24034505286257968
Princeton,105.89199353068602,2022,Ivy,Cornell,104.30072216469596,1.5912713659900675
Nevada,101.6945545323037,2022,MWC,Air Force,103.21892153790606,1.5243670056023575
UC Santa Barbara,101.68647241434984,2022,BW,Hawaii,101.01846243810066,0.6680099762491807
UC Irvine,96.4507690338823,2022,BW,UC Riverside,100.12676379583904,3.675994761956744
Yale,97.85628140750944,2022,Ivy,Dartmouth,100.65643355218351,2.8001521446740725
UC Riverside,100.12676379583904,2022,BW,UC Davis,100.68258686784374,0.5558230720046993
New Mexico,104.32822482222969,2022,MWC,Air Force,103.21892153790606,1.1093032843236301
Portland,102.83860588394262,2022,WCC,Pacific,104.31311864697204,1.4745127630294235
Hawaii,101.01846243810066,2022,BW,UC Davis,100.68258686784374,0.33587557025691694
Cal St. Fullerton,103.11978604733832,2022,BW,Long Beach St.,102.9589059449046,0.16088010243372253
Cornell,104.30072216469596,2022,Ivy,Brown,103.59159778737744,0.709124377318517
Long Beach St.,102.9589059449046,2022,BW,Cal St. Fullerton,103.11978604733832,0.16088010243372253
Nicholls,102.70775774713437,2022,Slnd,A&M-Corpus Christi,102.8341678750568,0.12641012792244055
LMU (CA),108.48775991687252,2022,WCC,Pepperdine,105.15165516091588,3.33610475595664
UC Davis,100.68258686784374,2022,BW,Hawaii,101.01846243810066,0.33587557025691694
Harvard,100.66999437648217,2022,Ivy,Dartmouth,100.65643355218351,0.013560824298650687
Penn,109.62389652410825,2022,Ivy,Princeton,105.89199353068602,3.7319029934222243
San Diego,100.09355650871362,2022,WCC,Santa Clara,100.38429480026936,0.2907382915557406
Dartmouth,100.65643355218351,2022,Ivy,Harvard,100.66999437648217,0.013560824298650687
Brown,103.59159778737744,2022,Ivy,Cornell,104.30072216469596,0.709124377318517
A&M-Corpus Christi,102.8341678750568,2022,Slnd,Nicholls,102.70775774713437,0.12641012792244055
Pepperdine,105.15165516091588,2022,WCC,Pacific,104.31311864697204,0.8385365139438363
Air Force,103.21892153790606,2022,MWC,New Mexico,104.32822482222969,1.1093032843236301
UC San Diego,109.562537166694,2022,BW,CSUN,110.1768163134516,0.6142791467575961
Southeastern La.,111.2605084959552,2022,Slnd,McNeese,110.2989669258861,0.9615415700690875
