gameId,homeMarket,awayMarket,secsIntoGame,teamMarket,actionType,subType,success,side,shotDist,zones6,zones13,season,team,Year,conf,similar_team,half,primary_side,side_mismatch
2529413,CSU Bakersfield,Hawaii,278.0,Hawaii,2pt,pullupjumpshot,False,RIGHT,22.061,mid2,re2,2025,CSU Bakersfield,2025,BW,Cal St. Fullerton,1,RIGHT,False
2529413,CSU Bakersfield,Hawaii,342.0,Hawaii,3pt,jumpshot,False,RIGHT,23.541,atb3,rw3,2025,CSU Bakersfield,2025,BW,Cal St. Fullerton,1,RIGHT,False
2529413,CSU Bakersfield,Hawaii,763.0,Hawaii,3pt,jumpshot,False,RIGHT,22.909,c3,lc3,2025,CSU Bakersfield,2025,BW,Cal St. Fullerton,1,RIGHT,False
2529413,CSU Bakersfield,Hawaii,852.0,Hawaii,2pt,pullupjumpshot,False,RIGHT,14.499,mid2,re2,2025,CSU Bakersfield,2025,BW,Cal St. Fullerton,1,RIGHT,False
2529413,CSU Bakersfield,Hawaii,884.0,Hawaii,2pt,jumpshot,False,RIGHT,4.215,atr2,atr2,2025,CSU Bakersfield,2025,BW,Cal St. Fullerton,1,RIGHT,False
2529413,CSU Bakersfield,Hawaii,922.0,Hawaii,3pt,jumpshot,False,RIGHT,23.435,atb3,lw3,2025,CSU Bakersfield,2025,BW,Cal St. Fullerton,1,RIGHT,False
2529413,CSU Bakersfield,Hawaii,1067.0,Hawaii,2pt,jumpshot,True,RIGHT,2.402,atr2,atr2,2025,CSU Bakersfield,2025,BW,Cal St. Fullerton,1,RIGHT,False
2529413,CSU Bakersfield,Hawaii,1103.0,Hawaii,3pt,jumpshot,True,RIGHT,25.346,atb3,rw3,2025,CSU Bakersfield,2025,BW,Cal St. Fullerton,1,RIGHT,False
2529413,CSU Bakersfield,Hawaii,1135.0,Hawaii,3pt,jumpshot,True,RIGHT,23.89,atb3,tok3,2025,CSU Bakersfield,2025,BW,Cal St. Fullerton,1,RIGHT,False
2529413,CSU Bakersfield,Hawaii,1247.0,Hawaii,2pt,hookshot,False,LEFT,7.926,paint2,paint2,2025,CSU Bakersfield,2025,BW,Cal St. Fullerton,2,LEFT,False
2529413,CSU Bakersfield,Hawaii,1461.0,Hawaii,3pt,jumpshot,False,LEFT,22.117,c3,lc3,2025,CSU Bakersfield,2025,BW,Cal St. Fullerton,2,LEFT,False
2529413,CSU Bakersfield,Hawaii,1538.0,Hawaii,3pt,jumpshot,False,LEFT,24.758,atb3,tok3,2025,CSU Bakersfield,2025,BW,Cal St. Fullerton,2,LEFT,False
2529413,CSU Bakersfield,Hawaii,1593.0,Hawaii,3pt,jumpshot,False,LEFT,26.673,atb3,lw3,2025,CSU Bakersfield,2025,BW,Cal St. Fullerton,2,LEFT,False
2529413,CSU Bakersfield,Hawaii,1994.0,Hawaii,3pt,jumpshot,False,LEFT,24.606,atb3,rw3,2025,CSU Bakersfield,2025,BW,Cal St. Fullerton,2,LEFT,False
2529413,CSU Bakersfield,Hawaii,2085.0,Hawaii,2pt,jumpshot,True,LEFT,12.271,mid2,le2,2025,CSU Bakersfield,2025,BW,Cal St. Fullerton,2,LEFT,False
2529413,CSU Bakersfield,Hawaii,2176.0,Hawaii,2pt,pullupjumpshot,True,LEFT,14.063,mid2,rb2,2025,CSU Bakersfield,2025,BW,Cal St. Fullerton,2,LEFT,False
2529413,CSU Bakersfield,Hawaii,2221.0,Hawaii,3pt,jumpshot,False,LEFT,23.754,atb3,rw3,2025,CSU Bakersfield,2025,BW,Cal St. Fullerton,2,LEFT,False
2529413,CSU Bakersfield,Hawaii,2341.9,Hawaii,3pt,jumpshot,False,LEFT,23.138,atb3,rw3,2025,CSU Bakersfield,2025,BW,Cal St. Fullerton,2,LEFT,False
